"Номер в оригинальном списке " Name "Corotation rad" Единицы "Ошибка снизу" "Ошибка сверху" "Dist, Mpc" Data "Pattern speed, (km/s/kpc)" "Ошибка снизу" "Ошибка сверху" "Это бар?" Method Ссылка
[96] "NGC 7331" 148.97 arcsec 0.00 0.00 "14.4
(Mpc)" "H II
" "19.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "NGC 7479" 91.41 arcsec 0.00 0.00 "35.2
(Mpc)" "H II
" "12.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[96] "IC 342" 572.95 arcsec 0.00 0.00 "4.5
(Mpc)" "H II
" "15.0
(km/s/kpc)" 0 0 "нет
" "Roberts et al. (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...196..381R/abstract
"
[90] "NGC 628" 68.00 arcsec 0.00 0.00 "18.2
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "Puerari & Dottori (1992) 
" "https://ui.adsabs.harvard.edu/abs/1992A%26AS...93..469P/abstract
"
[90] "NGC 2997" 67.85 arcsec 0.00 0.00 "7.6
(Mpc)" "H II
" "NaN
" 0 0 "NaN
" "Puerari & Dottori (1992) 
" "https://ui.adsabs.harvard.edu/abs/1992A%26AS...93..469P/abstract
"
[68] "NGC 1365" 145 arcsec 0.00 0.00 "20
(Mpc)" "H I, CO
" "20
(km/s/kpc)" 0 0 "нет
" "Lindblad et al. (1996)
" "https://ui.adsabs.harvard.edu/abs/1996A%26A...313...65L/abstract
"
[68] "NGC 1365" 157 arcsec 0.00 0.00 "20
(Mpc)" "H I, CO
" "18
(km/s/kpc)" 0 0 "нет
" "Lindblad et al. (1996)
" "https://ui.adsabs.harvard.edu/abs/1996A%26A...313...65L/abstract
"
[57] "NGC 1365" 138 arcsec 0.00 0.00 "20
(Mpc)" "H I
" "21
(km/s/kpc)" 1 1 "нет
" "Jorsater & van Moorsel (1995) 
" "https://ui.adsabs.harvard.edu/abs/1995AJ....110.2037J/abstract
"
[129] "NGC 3031" 717.167 arcsec 0.00 0.00 "NaN
" "H I
" "18
(km/s/kpc)" 0 0 "NaN
" "Visser (1980)
" "https://ui.adsabs.harvard.edu/abs/1980A%26A....88..149V/abstract
"
[52] "NGC 3031" 666.4 arcsec 0.00 0.00 "3.25
(Mpc)" "H I
" "18.9
(km/s/kpc)" 0 0 "NaN
" "Gottesman & Weliachew (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...195...23G/abstract
"
[52] "NGC 3031" 723.5 arcsec 0.00 0.00 "3.25
(Mpc)" "H I
" "18.3
(km/s/kpc)" 0 0 "NaN
" "Gottesman & Weliachew (1975)
" "https://ui.adsabs.harvard.edu/abs/1975ApJ...195...23G/abstract
"
[97] "NGC 3031" 653.7 arcsec 0.00 0.00 "3.25
(Mpc)" "H I
" "20
(km/s/kpc)" 0 0 "нет
" "Rots (1975)
" "https://ui.adsabs.harvard.edu/abs/1975A%26A....45...43R/abstract
"
[110] "NGC 598" 1766.5 arcsec 0.00 0.00 "0.794
(Mpc)" "H II
" "16
(km/s/kpc)" 0 0 "нет
" "Shu et al. (1971)
" "https://ui.adsabs.harvard.edu/abs/1971ApJ...166..465S/abstract
"
[110] "NGC 5194" 232.05 arcsec 0.00 0.00 "4.00
(Mpc)" "H II
" "33
(km/s/kpc)" 0 0 "нет
" "Shu et al. (1971)
" "https://ui.adsabs.harvard.edu/abs/1971ApJ...166..465S/abstract
"
[110] "NGC 3031" 878.39 arcsec 0.00 0.00 "2.63
(Mpc)" "H II
" "21.5
(km/s/kpc)" 0 0 "нет
